Code,Description
c029,
c048 r,Bösartige Neubildung: Mundboden
c020,"Bösartige Neubildung: Zungenrücken Zungenrücken Vordere zwei Drittel der Zunge, Dorsalfläche  Bösartige Neubildung"
c060,"Bösartige Neubildung: Wangenschleimhaut Wangenschleimhaut Mundschleimhaut o.n.A. Wange, innere  Basalzellkarzinom"
z926,Zytostatische Chemotherapie wegen bösartiger Neubildung
c779 b,Sekundäre und nicht näher bezeichnete bösartige Neubildung
c760 l,"Bösartige Neubildung ungenau bezeichneter Lokalisationen: Kopf, Gesicht und Hals Kopf, Gesicht und Hals Nase o.n.A. Wange"
c051 l,Bösartige Neubildung: Weicher Gaumen Weicher
c111,
k132 l,Leukoplakie
c778 r,Sekundäre
t828,Sonstige näher
h604,Cholesteatom
c131 r,Bösartige Neubildung
j350,Chronische Tonsillitis  Angina hypertrophica  Chronische Adenoiditis  Chronische Angina  Chronische Angina tonsillaris  Chronische
c103,
c779,Sekundäre und nicht näher bezeichnete bösartige Neubildung
c112,Bösartige Neubildung: Seitenwand
d110 r,Gutartige Neubildung: Parotis Parotis  Benigner epithelialer Tumor der Parotis  Gutartige Neubildung der Ohrspeicheldrüse  Gutartige Neubildung
c7988 r,Sekundäre bösartige Neubildung sonstiger näher
d370 l,"Neubildung unsicheren oder unbekannten Verhaltens: Lippe, Mundhöhle und Pharynx Lippe, Mundhöhle und Pharynx"
c061,Bösartige Neubildung
c041,Bösartige Neubildung: Seitlicher Teil
r060,Dyspnoe Kurzatmigkeit Orthopnoe  Atemnot  Atemschwäche  Atmungsdistress  Belastungsdyspnoe  Dyspnoe  Hyperventilationsdyspnoe  Keuchen  Kurzatmigkeit  Lufthungergefühl  Luftnot
c068 b,Bösartige
e042 b,Nichttoxische
d487,Neubildung
c111 r,
j383 l,Sonstige Krankheiten
c022 r,Bösartige Neubildung
j338 r,"Sonstige Polypen der Nasennebenhöhlen Polyp, Polyposis"
c098 b,"Bösartige Neubildung: Tonsille, mehrere"
j950,Funktionsstörung eines Tracheostomas Blutung aus dem Tracheostoma Infektion des Tracheostomas Obstruktion
c323,Bösartige
c051 r,Bösartige Neubildung: Weicher Gaumen Weicher
c138 b,"Bösartige Neubildung: Hypopharynx, mehrere Teilbereiche"
c068,Bösartige
c048,Bösartige Neubildung: Mundboden
d020,"Carcinoma in situ: Larynx Larynx Aryepiglottische Falte, laryngeale Seite Epiglottis (suprahyoidaler Anteil)  Carcinoma in situ"
c139 l,Bösartige Neubildung
d000 l,"Carcinoma in situ: Lippe, Mundhöhle und Pharynx Lippe, Mundhöhle und Pharynx Aryepiglottische Falte:				hypopharyngeale Seite"
c090 l,Bösartige Neubildung: Fossa tonsillaris Fossa tonsillaris  Bösartige Neubildung der Fossa tonsillaris  Bösartige Neubildung des glossopharyngealen Sulkus  Karzinom
e041,Nichttoxischer solitärer
c040,Bösartige Neubildung: Vorderer Teil des Mundbodens Vorderer Teil des Mundbodens Von vorn bis zum Prämolar-Eckzahn-Übergang  Basalzellkarzinom des vorderen Teils
d225,
